t_delay_s,v_ms,free_drop_m,KE_MJ,decel_ms2,stroke_m,force_MN
4.000000000000000222e-01,3.924000000000000377e+00,7.848000000000001641e-01,7.672711780800001158e+00,9.000000000000000000e+00,8.554320000000000812e-01,1.874604599999999976e+01
4.000000000000000222e-01,3.924000000000000377e+00,7.848000000000001641e-01,7.672711780800001158e+00,2.000000000000000000e+01,3.849444000000000754e-01,2.970864599999999456e+01
4.499999999999999556e-01,4.414499999999999424e+00,9.932624999999998261e-01,9.710775847574998565e+00,9.000000000000000000e+00,1.082656124999999747e+00,1.874604599999999976e+01
4.499999999999999556e-01,4.414499999999999424e+00,9.932624999999998261e-01,9.710775847574998565e+00,2.000000000000000000e+01,4.871952562499998751e-01,2.970864600000000166e+01
5.000000000000000000e-01,4.905000000000000249e+00,1.226250000000000062e+00,1.198861215750000042e+01,9.000000000000000000e+00,1.336612500000000203e+00,1.874604599999999976e+01
5.000000000000000000e-01,4.905000000000000249e+00,1.226250000000000062e+00,1.198861215750000042e+01,2.000000000000000000e+01,6.014756250000000692e-01,2.970864600000000166e+01
5.499999999999999334e-01,5.395499999999999297e+00,1.483762499999999651e+00,1.450622071057499518e+01,9.000000000000000000e+00,1.617301124999999562e+00,1.874604599999999976e+01
5.499999999999999334e-01,5.395499999999999297e+00,1.483762499999999651e+00,1.450622071057499518e+01,2.000000000000000000e+01,7.277855062499998251e-01,2.970864600000000166e+01
5.999999999999999778e-01,5.886000000000000121e+00,1.765800000000000036e+00,1.726360150680000061e+01,9.000000000000000000e+00,1.924722000000000044e+00,1.874604599999999976e+01
5.999999999999999778e-01,5.886000000000000121e+00,1.765800000000000036e+00,1.726360150680000061e+01,2.000000000000000000e+01,8.661248999999999754e-01,2.970864600000000166e+01
6.499999999999999112e-01,6.376499999999999169e+00,2.072362499999999663e+00,2.026075454617499716e+01,9.000000000000000000e+00,2.258875124999999429e+00,1.874604599999999976e+01
6.499999999999999112e-01,6.376499999999999169e+00,2.072362499999999663e+00,2.026075454617499716e+01,2.000000000000000000e+01,1.016493806249999743e+00,2.970864600000000166e+01
6.999999999999999556e-01,6.866999999999999993e+00,2.403449999999999864e+00,2.349767982870000083e+01,9.000000000000000000e+00,2.619760499999999936e+00,1.874604599999999976e+01
6.999999999999999556e-01,6.866999999999999993e+00,2.403449999999999864e+00,2.349767982870000083e+01,2.000000000000000000e+01,1.178892225000000016e+00,2.970864600000000166e+01
7.499999999999998890e-01,7.357499999999999041e+00,2.759062499999999751e+00,2.697437735437499384e+01,9.000000000000000000e+00,3.007378124999999347e+00,1.874604599999999976e+01
7.499999999999998890e-01,7.357499999999999041e+00,2.759062499999999751e+00,2.697437735437499384e+01,2.000000000000000000e+01,1.353320156249999684e+00,2.970864600000000166e+01
7.999999999999999334e-01,7.847999999999999865e+00,3.139199999999999768e+00,3.069084712320000108e+01,9.000000000000000000e+00,3.421727999999999881e+00,1.874604599999999976e+01
7.999999999999999334e-01,7.847999999999999865e+00,3.139199999999999768e+00,3.069084712320000108e+01,2.000000000000000000e+01,1.539777600000000080e+00,2.970864600000000166e+01
8.499999999999998668e-01,8.338499999999999801e+00,3.543862499999999027e+00,3.464708913517499411e+01,9.000000000000000000e+00,3.862810124999999761e+00,1.874604599999999976e+01
8.499999999999998668e-01,8.338499999999999801e+00,3.543862499999999027e+00,3.464708913517499411e+01,2.000000000000000000e+01,1.738264556249999870e+00,2.970864600000000166e+01
8.999999999999999112e-01,8.828999999999998849e+00,3.973049999999999304e+00,3.884310339029999426e+01,9.000000000000000000e+00,4.330624499999998989e+00,1.874604599999999976e+01
8.999999999999999112e-01,8.828999999999998849e+00,3.973049999999999304e+00,3.884310339029999426e+01,2.000000000000000000e+01,1.948781024999999500e+00,2.970864600000000166e+01
9.499999999999999556e-01,9.319499999999999673e+00,4.426762499999999712e+00,4.327888988857499442e+01,9.000000000000000000e+00,4.825171124999999783e+00,1.874604599999999976e+01
9.499999999999999556e-01,9.319499999999999673e+00,4.426762499999999712e+00,4.327888988857499442e+01,2.000000000000000000e+01,2.171327006249999858e+00,2.970864600000000166e+01
9.999999999999998890e-01,9.809999999999998721e+00,4.904999999999999361e+00,4.795444862999998747e+01,9.000000000000000000e+00,5.346449999999999037e+00,1.874604599999999976e+01
9.999999999999998890e-01,9.809999999999998721e+00,4.904999999999999361e+00,4.795444862999998747e+01,2.000000000000000000e+01,2.405902499999999389e+00,2.970864600000000166e+01
1.050000000000000044e+00,1.030050000000000132e+01,5.407762500000000472e+00,5.286977961457501607e+01,9.000000000000000000e+00,5.894461125000002077e+00,1.874604599999999976e+01
1.050000000000000044e+00,1.030050000000000132e+01,5.407762500000000472e+00,5.286977961457501607e+01,2.000000000000000000e+01,2.652507506250000979e+00,2.970864599999999456e+01
1.099999999999999867e+00,1.079099999999999859e+01,5.935049999999998604e+00,5.802488284229998072e+01,9.000000000000000000e+00,6.469204499999998248e+00,1.874604599999999976e+01
1.099999999999999867e+00,1.079099999999999859e+01,5.935049999999998604e+00,5.802488284229998072e+01,2.000000000000000000e+01,2.911142024999999300e+00,2.970864600000000166e+01
1.149999999999999911e+00,1.128149999999999942e+01,6.486862499999999088e+00,6.341975831317499512e+01,9.000000000000000000e+00,7.070680124999999094e+00,1.874604599999999976e+01
1.149999999999999911e+00,1.128149999999999942e+01,6.486862499999999088e+00,6.341975831317499512e+01,2.000000000000000000e+01,3.181806056249999681e+00,2.970864600000000166e+01
1.199999999999999956e+00,1.177200000000000024e+01,7.063200000000000145e+00,6.905440602720000243e+01,9.000000000000000000e+00,7.698888000000000176e+00,1.874604599999999976e+01
1.199999999999999956e+00,1.177200000000000024e+01,7.063200000000000145e+00,6.905440602720000243e+01,2.000000000000000000e+01,3.464499599999999901e+00,2.970864600000000166e+01
1.250000000000000000e+00,1.226250000000000107e+01,7.664062500000000000e+00,7.492882598437500974e+01,9.000000000000000000e+00,8.353828125000001492e+00,1.874604599999999976e+01
1.250000000000000000e+00,1.226250000000000107e+01,7.664062500000000000e+00,7.492882598437500974e+01,2.000000000000000000e+01,3.759222656250000849e+00,2.970864600000000166e+01
1.300000000000000044e+00,1.275300000000000189e+01,8.289450000000000429e+00,8.104301818470003127e+01,9.000000000000000000e+00,9.035500500000003044e+00,1.874604599999999976e+01
1.300000000000000044e+00,1.275300000000000189e+01,8.289450000000000429e+00,8.104301818470003127e+01,2.000000000000000000e+01,4.065975225000000748e+00,2.970864600000000522e+01
1.350000000000000089e+00,1.324350000000000094e+01,8.939362500000001432e+00,8.739698262817501018e+01,9.000000000000000000e+00,9.743905125000001277e+00,1.874604599999999976e+01
1.350000000000000089e+00,1.324350000000000094e+01,8.939362500000001432e+00,8.739698262817501018e+01,2.000000000000000000e+01,4.384757306250000042e+00,2.970864600000000166e+01
1.399999999999999911e+00,1.373399999999999999e+01,9.613799999999999457e+00,9.399071931480000330e+01,9.000000000000000000e+00,1.047904199999999975e+01,1.874604599999999976e+01
1.399999999999999911e+00,1.373399999999999999e+01,9.613799999999999457e+00,9.399071931480000330e+01,2.000000000000000000e+01,4.715568900000000063e+00,2.970864600000000166e+01
1.449999999999999956e+00,1.422450000000000081e+01,1.031276249999999983e+01,1.008242282445750106e+02,9.000000000000000000e+00,1.124091112500000200e+01,1.874604599999999976e+01
1.449999999999999956e+00,1.422450000000000081e+01,1.031276249999999983e+01,1.008242282445750106e+02,2.000000000000000000e+01,5.058410006250000812e+00,2.970864600000000166e+01
1.500000000000000000e+00,1.471499999999999986e+01,1.103625000000000078e+01,1.078975094175000038e+02,9.000000000000000000e+00,1.202951250000000094e+01,1.874604599999999976e+01
1.500000000000000000e+00,1.471499999999999986e+01,1.103625000000000078e+01,1.078975094175000038e+02,2.000000000000000000e+01,5.413280625000000512e+00,2.970864600000000166e+01
