R_arrest_pct,one_shaft_pct,five_shafts_pct,battery_pct
5.350877192982456165e+01,2.584027777777777501e+01,8.033333333333332860e+01,3.999999999999998224e+00
5.363408521303257714e+01,2.596145124716552743e+01,8.038095238095237960e+01,3.999999999999998224e+00
5.375939849624060685e+01,2.608290816326531214e+01,8.042857142857143060e+01,3.999999999999998224e+00
5.388471177944862234e+01,2.620464852607710782e+01,8.047619047619048160e+01,3.999999999999998224e+00
5.401002506265663783e+01,2.632667233560090381e+01,8.052380952380951840e+01,3.999999999999998224e+00
5.413533834586466043e+01,2.644897959183672853e+01,8.057142857142856940e+01,3.999999999999998224e+00
5.426065162907267592e+01,2.657157029478457488e+01,8.061904761904760619e+01,3.999999999999998224e+00
5.438596491228070562e+01,2.669444444444444997e+01,8.066666666666665719e+01,3.999999999999998224e+00
5.451127819548872111e+01,2.681760204081632892e+01,8.071428571428572241e+01,3.999999999999998224e+00
5.463659147869673660e+01,2.694104308390021885e+01,8.076190476190475920e+01,3.999999999999998224e+00
5.476190476190476630e+01,2.706476757369616237e+01,8.080952380952382441e+01,3.999999999999998224e+00
5.488721804511278179e+01,2.718877551020408134e+01,8.085714285714284699e+01,3.999999999999998224e+00
5.501253132832080439e+01,2.731306689342403615e+01,8.090476190476189799e+01,3.999999999999998224e+00
5.513784461152881988e+01,2.743764172335600904e+01,8.095238095238094900e+01,3.999999999999998224e+00
5.526315789473683537e+01,2.756249999999998934e+01,8.100000000000000000e+01,3.999999999999998224e+00
5.538847117794486508e+01,2.768764172335601970e+01,8.104761904761905100e+01,3.999999999999998224e+00
5.551378446115288057e+01,2.781306689342403615e+01,8.109523809523808779e+01,3.999999999999998224e+00
5.563909774436089606e+01,2.793877551020408490e+01,8.114285714285713880e+01,3.999999999999998224e+00
5.576441102756892576e+01,2.806476757369615882e+01,8.119047619047620401e+01,3.999999999999998224e+00
5.588972431077694125e+01,2.819104308390024016e+01,8.123809523809522659e+01,3.999999999999998224e+00
5.601503759398496385e+01,2.831760204081633603e+01,8.128571428571429180e+01,3.999999999999998224e+00
5.614035087719297934e+01,2.844444444444444287e+01,8.133333333333332860e+01,3.999999999999998224e+00
